name,SI,isocode,malaria_index,meanrh,meantemp,itx,r,prop_tropics,coast,river,meanalt,city1800,lat,lon,province,N,tse,perturb_TSI1,perturb_TSI2,abslat,slavery_indigenous,intensive,plow,animals,central,female_ag,optimum,ln_popd_murdock,gathering,hunting,fishing,husbandry,agriculture
"BASARI",0.559819221496582,"TGO",24.0746593475342,54.9037094116211,27.0586891174316,1485.62243652344,0.450776159763336,1,0,0,0.173667013645172,0,9,1,12,10.1115264892578,0.205076977610588,0.0618771389126778,0.902191996574402,9,1,1,0,1,0,0,0,3.16036939620972,0,1,0,2,7
"BASHI",0.205459773540497,"COD",1.47831201553345,79.2852630615234,20.5505104064941,1629.35266113281,0.255085408687592,1,0,1,1.40515291690826,0,-2,29,45,6.41204404830933,-1.01111745834351,0.260073155164719,-1.46949458122253,2,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,4,5
"BASKETO",0.410279512405396,"ETH",0.641290009021759,69.3915176391602,18.5061092376709,1284.1669921875,0.136159300804138,1,0,1,0.887731611728668,0,6,37,23,3.88048338890076,-1.8433610200882,-0.100778348743916,-1.87043011188507,6,NA,1,0,1,0,0,0,NA,0,0,0,3,7
"BASSARI",0.573302507400513,"SEN",22.9592704772949,45.058349609375,28.1072807312012,1266.46765136719,0.354204177856445,1,0,0,0.0235171001404524,0,12,-13,34,8.33778953552246,-0.378034055233002,-1.08758056163788,0.634905338287354,12,0,0,0,1,0,0,0,2.88775086402893,1,1,0,2,6
"BATA",0.592275440692902,"NGA",21.1732902526855,44.8165397644043,27.6770095825195,1240.38781738281,0.375722706317902,1,0,1,0.0943149328231812,0,10,13,13,8.74061393737793,-0.245606675744057,-0.756061613559723,0.662170708179474,10,1,1,0,1,0,NA,0,1.52802455425262,0,0,0,2,8
"BAULE",0.610047578811646,"CIV",23.4388198852539,68.1271362304688,25.8933696746826,1764.04113769531,0.562649846076965,1,0,1,0.123716004192829,0,8,-5,32,12.0736494064331,0.850119411945343,1.25365519523621,1.21189117431641,8,1,0,0,0,0,0,1,2.58067512512207,0,1,2,1,6
"BAYA",0.695486903190613,"CAF",14.3279399871826,63.3027992248535,23.7165546417236,1501.32434082031,0.56730055809021,1,0,1,0.608493685722351,0,6,16,29,12.1534214019775,0.876344203948975,0.0480638444423676,-0.270435065031052,6,1,0,0,0,0,1,1,0.555986940860748,1,1,1,1,6
"BEMBA",0.773178696632385,"ZMB",4.01508522033691,59.663631439209,20.2542190551758,1208.44030761719,0.240853726863861,1,0,1,0.812306046485901,0,-11,31,38,6.12421846389771,-1.10573935508728,0.232396394014359,-1.66632294654846,11,1,0,0,0,1,1,0,1.09094989299774,1,1,1,0,7
"BENA",0.554040312767029,"TZA",2.31450200080872,61.4967918395996,21.6523494720459,1331.55004882813,0.299074530601501,1,0,0,0.241661801934242,0,-9,36,46,7.28234958648682,-0.725006997585297,0.291785627603531,-0.926618337631226,9,1,1,0,1,1,1,0,0.277387201786041,0,1,0,3,6
"BENDE",0.409063518047333,"TZA",4.62556219100952,57.3822593688965,22.5375995635986,1293.25842285156,0.533125042915344,1,0,1,0.719240784645081,0,-7,31,46,11.5640840530396,0.6826012134552,0.236171722412109,-0.601266860961914,7,1,0,0,0,1,NA,1,NA,0,2,2,0,6
